Country,Average Annual Immigration Rate from 2004-2013
Estonia,1.117393001535035
Poland,1.0744915230539354
Hungary,2.4230177488162257
Finland,3.366662024065332
France,2.4073983214081336
Portugal,3.97976660707742
Denmark,5.593335782983404
Netherlands,5.75433617225427
Czech Republic,4.9316298434952355
Sweden,8.23751672412693
Norway,11.168201172109036
Italy,6.356959612705945
Belgium,9.119774447721571
United Kingdom,7.014904234053868
Germany,8.688489779517113
Iceland,15.186902494968162
Ireland,13.50407569158393
Austria,12.386733983984405
Switzerland,16.881258602364184
Spain,12.700406812389593
Luxembourg,32.62390822372371
