Country,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Estonia,0.5555352241537054,0.7219339882989293,1.1016509957799658,1.4535489828135704,1.4412300887600489,1.668737928039888,0.8992792265748637,1.2597205300603163,0.8353348923232949,1.2369581585457674
Poland,0.9649231036070438,1.0088585545570676,0.8965576614861918,1.0658751330048863,1.0975546757825743,1.0823666407977623,1.0799027290655,1.085997064108769,1.2382108435228942,1.2246688246066637
Hungary,2.1908238838155603,2.533486096477472,2.3389877975476008,2.2458419587691747,3.5386342466567537,2.5503004443735526,2.3849837492775348,2.2546191452155386,2.0479413608137396,2.144558805215325
Finland,2.2052856353544588,2.4336350360949095,2.638719227944394,3.3170644813154557,3.7555061009522905,3.3957817732863664,3.4032044163173674,3.7981305518079442,4.320097488237482,4.399195529342651
France,2.272417844142098,2.164406374919611,2.5208274569353435,2.292023741353709,2.395527640151319,2.4802865494209767,2.43986686061999,2.382364528227633,2.5038841026093377,2.622378115701321
Portugal,3.255594120146471,2.6767868495556604,2.136322834462901,3.095060777085366,6.900754348931652,5.816995035697198,4.799460991032374,4.291137541603529,3.6554301971904306,3.170123375068619
Denmark,3.465588664675673,3.7228778847637534,4.41808957009164,5.770059723698037,6.760301844975457,5.798291593266455,6.042201094252338,6.217283371590403,6.359626959227426,7.379037123292854
Netherlands,4.005466344266022,3.889172296557621,4.1420429883049135,4.906347918497576,6.3001210759945545,6.333334283646877,6.650683146758046,7.1120574882057594,6.914261436761507,7.289874743549822
Czech Republic,4.9830574672936585,5.743389821700573,6.467892793295341,9.99694467640827,7.5233322202265365,3.834052559889267,2.9167217863202834,2.1541508025713636,2.8840282348820065,2.8127280723650583
Sweden,5.300997028634074,5.692461275683047,8.885964159937187,9.166426448853576,9.073141929583018,9.049250206371909,8.461480649914,8.056017851282503,8.71014056420772,9.979287126802278
Norway,6.087222665335797,6.806888645119805,8.06535208790792,11.428427385330135,12.416693423142208,11.810590483683708,13.392823142897193,14.38101906284265,14.042082926349863,13.250911898481077
Italy,6.865811301327573,4.886068369052047,4.384593925614837,8.848640856898518,8.465893615615602,6.893575599401674,7.171785342704781,5.968649040363893,5.40970266679375,4.67487540928679
Belgium,6.968359592209666,7.410692780253827,7.9373958628846335,8.822967548689437,9.93843927541604,9.55205392315504,10.478136109126417,10.721923582977642,9.914059225676779,9.45371657682624
United Kingdom,7.263667768403722,6.7314257324235385,7.451324811477121,7.4500666649976335,7.406006209319039,6.930750503732588,7.342802007166926,7.1879054303943235,6.031942236735212,6.353150975888587
Germany,7.296374745641585,7.021758042756627,6.774388435817732,6.982356269713774,6.979203308401314,7.393860732489198,8.355869691957276,10.29576154360865,12.024564317005673,13.760760707779292
Iceland,8.645076917782289,15.941303303732921,23.57523233441484,30.285498842923634,23.6829508747571,10.620976428446182,9.407171866637281,8.648085111727985,8.846123758116248,12.216605511143147
Ireland,10.375166517699464,16.07618506534568,21.125642680547013,27.741181230556403,20.12219127746752,11.21353444855288,5.253407681141453,7.372758118183343,7.0045935731872015,8.756096323158328
Austria,12.802587093784728,11.948629489332195,10.043131469205498,11.052297094863398,11.35870545808378,10.996996641752858,11.602028487089306,13.124638514541328,14.938533829377574,15.999791761813375
Switzerland,13.072795386513144,12.724976675978295,13.762600668603621,18.602990462180134,20.711282579534533,17.196374484280152,17.232769478201742,18.10274132562419,18.075312313709873,19.33074264901618
Spain,15.179381721363283,15.768331261641572,18.24520629654584,20.55466931471589,15.157523147187632,10.150289343865765,9.278670062023654,8.920231595767937,7.179042842274714,6.570722538509656
Luxembourg,26.914454017935643,29.83110378769811,29.271817960885638,33.108841694544374,34.72723176360431,29.655521783181356,31.497850880163167,37.331978743357304,37.03703703703704,36.8632445688302
